Year,Company Name,Country,Industry Exiobase,% Total Environmental Intensity -Revenue,% Total Environmental Intensity -Operating Income,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity Drinking water & Irrigation Water,Wood Production Capacity,% Imputed,Total Environmental Cost
2013,MOHAWK INDUSTRIESINC.,United States,Manufacture of furniture; manufacturing n.e.c. 36,-9.51,-106.04,650680403,174100,8649819,2012798,"-29,933",335726,36832880,"78,754",8,698636906
2017,WYNN RESORTSLIMITED,United States,Recreationalcultural and sporting activities 92,-1.6,-9.55,89678243,-20289,1133899,264900,"-3,634","-7,888",9731446,"-2,013",5,100842312
2012,PERSIMMON PLC,United Kingdom,Construction 45,-0.13,-1.09,3572863,-1041,"-47,811","-11,117",-171,"-1,591","-19,545",571,13,3653567
2018,LG ELECTRONICS INCORPORATED,South Korea,Computer and related activities 72,-1.16,-26.31,612792826,143468,7420209,1715061,"-26,351",1099386,15658827,"42,406",17,638813722
2015,PANDOX AB,Sweden,Other service activities 93,-0.98,-3.41,4097831,-951,"-54,469","-12,768",-172,-285,"-24,097",35,1,4190538
2012,STATE STREET CORP,United States,Financial intermediationexcept insurance and pension funding 65,-0.25,-0.88,23049012,-6349,305968,"-71,556","-1,079","-6,843","-53,241","3,201",8,23490846
2018,TAINAN SPINNING COMPANY LIMITED,Taiwan,Manufacture of textiles 17,-8.52,-310.99,65459808,-16503,858109,201298,"-2,790","-35,878",2866254,"1,268",4,69439372
2016,KT & G CORPORATION,South Korea,Manufacture of tobacco products 16,-0.61,-1.86,21899218,-8127,277715,"-64,188","-1,230","-47,476",456301,"8,641",20,22745614
2018,DENSO CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. 29,-1.3,-17.14,587523223,142254,7860430,1833799,"-25,393","-39,526",10096369,"26,169",1,607494824
2017,LOGITECH INTERNATIONAL SA,Switzerland,Manufacture of office machinery and computers 30,-0.21,-2.29,4428708,-1304,"-59,998","-13,372",-206,-877,107004,626,11,4610843
2016,AMBASSADOR HOTEL LTD,Taiwan,Other service activities 93,-5.91,-60.4,6443436,-1479,"-85,710","-20,085",-269,-116,"-35,319",14,0,6586400
2016,EXPERIAN PLC,United Kingdom,Activities auxiliary to financial intermediation 67,-0.31,-1.26,12678616,-3065,168517,"-39,500",-543,"-2,909","-69,457",388,3,12962219
2018,PEPKOR HOLDINGS LTD,South Africa,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-1.94,-24.7,84843605,-19375,1126375,263809,"-3,525","-14,677",463891,-88,0,86735345
2016,MELLANOX TECHNOLOGIES LTD,Israel,Manufacture of electrical machinery and apparatus n.e.c. 31,-17.02,-477.06,2761443,-6513,"7,830",749,-372,"-31,348",555278235,"4,918",2,558064414
2014,NOMURA REAL ESTATE HOLDINGSINC,Japan,Real estate activities 70,-0.3,-2.12,12844975,-3203,171196,"-40,022",-564,"-2,780",103047,791,5,13164996
2013,MITSUBISHI TANABE PHARMA CORP,Japan,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-1.05,-6.37,39811330,-9567,533737,123880,"-1,709","-1,148",1354685,"1,549",0,41834508
2014,HAMMERSON PLC,United Kingdom,Financial intermediationexcept insurance and pension funding 65,-3.18,-19.89,8226038,-1895,109412,"-25,650",-344,-187,1903628,34,0,10267120
2010,FORMOSA PLASTICS CORPORATION,Taiwan,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-246.34,-1781.19,18606970855,4390689,245907000,57187203,786629,2406063,100556141,421051,0,19017783530
2017,COCA-COLA AMATIL LIMITED,Australia,Manufacture of beverages,-3.84,-26.73,72185018,-18941,956832,222713,"-3,220","-58,789",77560424,"5,716",4,151000220
2014,STHREE PLC,United Kingdom,Activities auxiliary to financial intermediation 67,-0.09,-2.27,1027858,-292,"-13,634","-3,194",-48,-998,"-5,615",133,11,1051507
2011,CITIZEN WATCH CO LTD,Japan,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-1.16,-19.54,40712871,-9461,542018,126724,"-1,707","-1,040",1648018,349,0,43041488
2013,TT ELECTRONICS PLC,United Kingdom,Manufacture of electrical machinery and apparatus n.e.c. 31,-1.63,-49.82,12907207,-3234,164445,"-38,473",-554,"-87,423",1156899,614,6,14357621
2015,NAMCHOW HOLDINGS CO LTD,Taiwan,Processing of Food products nec,-8.25,-65.28,36428889,-8366,484150,113475,"-1,520",-257,1673849,100,0,38710407
2011,GROWTHPOINT PROPERTIES LIMITED,South Africa,Financial intermediationexcept insurance and pension funding 65,-0.05,-2.75,298765,-67,"-3,831",-879,-12,"-1,048","-1,546",-6,9,306153
2016,BIO PAPPEL SAB DE CV,Mexico,Paper,-50.83,-389.24,453835469,110432,5922041,1388559,"-19,503",874663,77221278,"11,531",3,539360413
2012,OCEANA GROUP LIMITED,South Africa,Processing of Food products nec,-14.43,-94.32,73417151,-16837,955049,219434,"-2,969","-64,110",4352193,"-1,961",5,79029705
2015,KING YUAN ELECTRONICS COMPANY LIMITED,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-13.24,-83.87,67265252,-15569,893613,209236,"-2,817","-1,625",367924,496,0,68755540
2018,HALFORDS GROUP PLC,United Kingdom,Salemaintenancerepair of motor vehiclesmotor vehicles partsmotorcyclesmotor cycles parts and accessoiries,-0.63,-9.07,8898447,-2450,116524,"-27,273",-413,"-4,019","-47,946","1,139",10,9095934
2016,GIGA-BYTE TECHNOLOGY COMPANY LIMITED,Taiwan,Manufacture of office machinery and computers 30,-0.57,-17.59,8979988,-2117,119355,"-27,757",-379,-781,"-48,808",172,1,9179012
2012,CASELLA WASTE SYSTEMS INC,United States,Real estate activities 70,-46.24,-723.9,217488766,-49772,2891383,677856,"-9,055",-365,1191966,77,0,222309085
2013,CHUNGHWA TELECOM COMPANY LIMITED,Taiwan,Post and telecommunications 64,-3.52,-16.87,253799255,-58325,3374881,790563,"-10,596","-4,233",10848170,997,0,268885026
2017,MANDOM CORPORATION,Japan,Chemicals nec,-1.52,-15.44,6393972,-3815,"-93,167","-10,694",-394,"-91,952",3854506,"4,471",7,10444029
2010,BROOKFIELD ASSET MANAGEMENT INCORPORATED,Canada,Financial intermediationexcept insurance and pension funding 65,-1.46,-51.76,197665081,-50452,2642874,619401,"-8,803",458193,3870207,"15,065",6,205299946
2010,CONTACT ENERGY LTD,New Zealand,Production of electricity nec,-23.45,-206.22,360818468,103234,4663556,1089511,"-19,587",166110,25845308,"60,158",4,392645616
2017,SUN ART RETAIL GROUP LIMITED,Hong Kong,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-4.64,-166.08,713090270,170575,9442281,2206723,"-30,500","-64,563",4244049,"23,607",2,729225353
2011,AKAMAI TECHNOLOGIESINC.,United States,Computer and related activities 72,-2.48,-9.99,28150045,-6621,374201,"-87,611","-1,192","-1,443",154054,575,2,28774592
2015,TALKTALK TELECOM GROUP PLC,United Kingdom,Post and telecommunications 64,-0.19,-3.08,5001738,-1424,"-65,719","-15,363",-234,"-4,545","-33,690",679,11,5122034
2014,H & M HENNES & MAURITZ AB,Sweden,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-2.08,-12.33,94552734,-25844,1241401,290140,"-4,394","-34,158",306619326,"12,455",3,402755541
2013,DISCO CORPORATION,Japan,Manufacture of electrical machinery and apparatus n.e.c. 31,-0.94,-7.65,8074636,-1930,108007,"-25,134",-345,-341,189878,247,3,8400024
2015,BING-GRAE COMPANY LIMITED,South Korea,Processing of Food products nec,-2.83,-71.33,18062208,-4397,239561,"-56,131",-774,"-6,414",852131,561,0,19221056
2014,HYUNDAI MOTOR CO,South Korea,Manufacture of motor vehiclestrailers and semi-trailers 34,-1.02,-12.01,797963407,179572,10808009,2438710,"-32,988",280477,18940127,"8,757",1,830634533
2013,SA SA INTERNATIONAL HOLDINGS LIMITED,Hong Kong,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.52,-4.29,5016550,-1613,"-64,137","-14,603",-260,"-4,008","-25,662","1,466",14,5125367
2018,BETSSON AB,Sweden,Recreationalcultural and sporting activities 92,-0.06,-0.28,369998,-86,"-4,488","-1,045",-15,-223,"-5,888",-9,11,381752
2017,TRYG A/S,Denmark,Insurance and pension fundingexcept compulsory social security 66,-0.06,-0.28,1588946,-400,"-20,584","-4,815",-69,-377,"-8,465",87,4,1623568
2016,KYOWA HAKKO KIRIN COMPANY LIMITED,Japan,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-4,-43.35,112891065,-25820,1512723,350123,"-4,703","-1,146",2789294,791,0,117574083
2017,ITO ENLTD.,Japan,Manufacture of beverages,-0.19,-4.11,7324385,-3028,"-99,221","-22,482",-459,"-9,076",493612,"4,226",12,7948036
2014,HENDERSON LAND DEVELOPMENT COMPANY LIMITED,Hong Kong,Real estate activities 70,-1.1,-4.31,31697281,-7704,415813,"-97,209","-1,343","-12,448",1008089,599,2,33239288
2013,GWA GROUP LIMITED,Australia,Construction 45,-1.88,-16.74,9327077,-2168,124024,"-29,075",-391,-78,"-51,165",64,1,9533914
2018,NATIONAL STORAGE REIT,Australia,Financial intermediationexcept insurance and pension funding 65,-2.87,-8.01,2763625,-640,"-36,763","-8,619",-116,-45,"-15,156",20,1,2824943
2012,BIG LOTSINC.,United States,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-2.45,-44.37,129545983,-30221,1723294,403960,"-5,459","-3,404",710323,"1,774",1,132420869
2015,ISETAN MITSUKOSHI HOLDINGS LIMITED,Japan,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.48,-18.42,49588152,-14920,639583,149332,"-2,446","-23,643",262476,"10,403",13,50670149
2014,ROYAL BANK OF SCOTLAND GROUP PLC,United Kingdom,Financial intermediationexcept insurance and pension funding 65,-0.44,-1.39,127635727,-30458,1698277,398077,"-5,436","-17,574",3283243,"3,192",3,133065600
2010,PANASONIC CORPORATION,Japan,Computer and related activities 72,-1.13,-43.91,995995677,237838,13319948,3099341,"-42,510","-62,723",18581218,"30,673",0,1031308581
2010,VARIAN MEDICAL SYSTEMSINC.,United States,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.76,-3.44,17160753,-4788,224458,"-51,500",-804,"-6,223",568642,"2,593",9,18014575
2015,KELLOGG COMPANY,United States,Processing of Food products nec,-2.84,-19.26,335517204,-84955,4502529,1042890,"-14,868","-51,346",42329411,"25,544",5,383517658
2013,NH HOTEL GROUP SA,Spain,Other service activities 93,-1.75,0,15534368,-3703,205382,"-47,669",-656,"-2,255",14548123,301,0,30341854
2018,SERCO GROUP PLC,United Kingdom,Real estate activities 70,-2.26,-76.69,79937838,-18397,1063441,249306,"-3,340","-1,535",438387,336,0,81711908
2012,INTERNATIONAL PERSONAL FINANCE PLC,United Kingdom,Financial intermediationexcept insurance and pension funding 65,-0.77,-5.27,7942431,-1863,105660,"-24,769",-335,-646,"-58,123",117,2,8133710
2014,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,United States,Computer and related activities 72,-0.62,-3.21,59288461,-15051,787011,183542,"-2,636","-11,730",3834080,"4,674",5,64117836
2015,UNION BANK OF THE PHILIPPINES,Philippines,Financial intermediationexcept insurance and pension funding 65,-0.65,-1.96,3106186,-801,"-41,012","-9,592",-138,"-1,197",247065,222,0,3405768
2018,AAMAL CO QPSC,Qatar,Activities of membership organisation n.e.c. 91,-17.93,-68.34,18657647,-4320,247649,"-57,976",-808,-497,44378926,85,0,63347738
2017,YOKOGAWA ELECTRIC CORPORATION,Japan,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.77,-9.58,26157844,-5986,348704,"-81,263","-1,090","-1,354",274358,102,1,26870497
2016,NUVISTA ENERGY LTD,Canada,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-25.05,-401.41,46058336,-12496,638010,136233,"-2,050","-58,427",805628,"5,029",11,47706151
2010,HONDA MOTOR CO.LTD.,Japan,Manufacture of motor vehiclestrailers and semi-trailers 34,-1.18,-27.73,1201884853,292567,16079646,3652079,"-52,014",152687,23545637,"72,281",2,1245587203
2018,SINO-AMERICAN SILICON PRODUCTS INC,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-0.88,-4.63,18606545,-5084,243050,"-55,785",-850,"-7,225",1022176,"2,206",6,19938510
2016,JPMORGAN CHASE & CO.,United States,Financial intermediationexcept insurance and pension funding 65,-0.21,-0.64,214866811,-63429,2850012,665825,"-10,527","-90,735",1170437,"42,446",12,219675331
2017,CAMPBELL SOUP COMPANY,United States,Processing of Food products nec,-4.17,-22.05,218757496,-54858,2933044,680177,"-9,635","-30,151",106302599,"15,000",4,328752961
2014,LG UPLUS CORPORATION,South Korea,Post and telecommunications 64,-3.08,-58.71,302061461,-69909,4017827,941729,"-12,664","-10,494",2834821,"2,455",1,309946449
2018,CASIO COMPUTER COMPANY LIMITED,Japan,Computer and related activities 72,-0.41,-4.32,11328026,-2606,150235,"-35,207",-473,"-2,852",128536,44,1,11647891
2012,AMERICAN WATER WORKS CO INCORPORATED,United States,Collectionpurification and distribution of water 41,-282.85,-880.54,218671497,-50375,2907901,681597,"-9,142","-2,488",7915021526,"1,098",0,8137343429
2016,INTERMEDIATE CAPITAL GROUP PLC,United Kingdom,Financial intermediationexcept insurance and pension funding 65,-0.04,-0.11,219281,-75,"-2,931",-686,-12,-343,"-1,319",62,19,224584
2018,AIR WATER INCORPORATED,Japan,Chemicals nec,-7.96,-141.4,513496393,117644,6937804,1510225,"-20,977",919638,23420805,"6,277",10,546417209
2016,INMARSAT PLC,United Kingdom,Post and telecommunications 64,-0.39,-1.15,3726809,-959,"-49,260","-11,532",-165,"-1,727","-22,815",258,6,3813009
2010,ESSILORLUXOTTICA SA,France,Manufacture of wearing apparel; dressing and dyeing of fur 18,-0.28,-1.59,8296238,-3021,133295,"-23,519",-480,"-9,129",5982612,"4,652",14,14443642
2016,DELTA AIR LINES INC,United States,Air transport 62,-27.92,-149.54,10832124217,2465799,140984691,32940403,449631,1897691,57923083,"48,155",4,11068737360
2018,KOSMOS ENERGY LIMITED,United States,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,8.58,0,74804551,-32720,825799,197829,"-2,596","-69,635",205560,150377,4,76079165
2018,GREENE KING PLC,United Kingdom,Other service activities 93,-2.27,-13.24,61353585,-14232,815867,191262,"-2,571","-2,959",594211,420,0,62974267
2018,HYSAN DEVELOPMENT COMPANY LIMITED,Hong Kong,Real estate activities 70,-3.67,-4.89,12540177,-2941,165851,"-38,838",-526,"-2,012",5455486,97,0,18205735
2016,TAISHIN FINANCIAL HOLDING COMPANY LIMITED,Taiwan,Financial intermediationexcept insurance and pension funding 65,-0.41,-1.92,5932103,-1994,"-74,290","-15,352",-317,"-10,685","-26,973","2,327",7,6059387
2018,DR.REDDY'S LABORATORIES LTD,India,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-8.99,-114.15,170408931,-42668,2176901,510426,"-7,177",435913,9816305,"2,100",6,183396221
2016,KING'S TOWN BANK CO LTD,Taiwan,Financial intermediationexcept insurance and pension funding 65,-0.33,-0.54,851797,-310,"-10,498","-2,089",-48,"-1,927","-3,669",420,8,869918
2011,AECI LIMITED,South Africa,Chemicals nec,-11.91,-120.82,169780159,-47257,2183275,500081,"-7,240",462672,24758834,"3,349",4,197736169
2014,TOHOKU ELECTRIC POWER CO INC,Japan,Production of electricity nec,-84.74,-2017.36,14088537316,3379734,182887620,42886331,592234,2360440,87898167,149491,4,14408392351
2010,CARNIVAL PLC,United States,Other service activities 93,54.92,347.58,5025446088,1838799,64301175,14773785,"-59,746","-8,194",25737916,6646390,0,5134998616
2010,KINTETSU GROUP HOLDINGS CO LTD,Japan,Transport via railways,-1.39,-36.98,161235941,-44060,2015875,470665,"-7,350","-20,845",827325,"18,146",6,164603915
2015,YAMAHA CORPORATION,Japan,Manufacture of rubber and plastic products 25,-1.67,-23.89,58086078,-13593,774004,180124,"-2,445","-1,717",809719,897,1,59866783
2013,FORMOSA CHEMICALS & FIBRE CORPORATION,Taiwan,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-24.24,-546.93,3401750655,982769,42885110,9351409,160002,3636730,16437798,636412,1,3474568062
2015,GWA GROUP LIMITED,Australia,Construction 45,-2.08,-12.02,6317680,-1472,"-84,005","-19,693",-265,-62,"-34,660",51,1,6457786
2011,TUI AG,Germany,Other service activities 93,-4.53,-155.34,1004240293,573314,14711409,3423249,"-82,325",117927,6011360,1070259,0,1028089619
2010,PUBLICIS GROUPE SA,France,Publishingprinting and reproduction of recorded media 22,-0.26,-1.72,12444815,-6356,166053,"-38,256",-847,"-39,012",6275052,"8,472",13,18961919
2011,ASML HOLDING NV,Netherlands,Manufacture of electrical machinery and apparatus n.e.c. 31,-0.4,-1.38,28629146,-6655,373353,"-86,113","-1,187","-57,905",481347,204,6,29635502
2017,DOUGLAS EMMETTINC.,United States,Financial intermediationexcept insurance and pension funding 65,-4.51,-38.19,24207993,-5646,321899,"-75,450","-1,020",-698,12010785,327,1,36623165
2010,EDWARDS LIFESCIENCES CORPORATION,United States,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.57,-2.91,7014796,-2291,"-90,221","-21,051",-367,"-3,823",1092356,"2,037",10,8222868
2012,DIGI.COM BERHAD,Malaysia,Post and telecommunications 64,-1.87,-7.55,37943550,-9557,492293,114427,"-1,644","-34,607",331403,"1,881",2,38925599
2014,WORKSPACE GROUP PLC,United Kingdom,Financial intermediationexcept insurance and pension funding 65,-4.4,-14.52,4647181,-1068,"-61,809","-14,491",-194,-68,438612,12,0,5163410
2016,STANTEC INCORPORATED,Canada,Activities auxiliary to financial intermediation 67,-0.61,-8.81,11769959,-3569,159626,"-37,360",-591,"-81,801",2037588,"2,679",5,14087814
2017,WOLTERS KLUWER NV,Netherlands,Activities auxiliary to financial intermediation 67,-0.17,-0.93,8722656,-2390,114971,"-26,755",-408,"-5,985",310083,"1,239",8,9182008
2014,MACERICH CO,United States,Financial intermediationexcept insurance and pension funding 65,-8.02,-137.34,38623970,-8967,513614,120393,"-1,622",-852,49317591,398,0,88586611
2012,JOHN KEELLS HOLDINGS LIMITED,Sri Lanka,Activities of membership organisation n.e.c. 91,-5.12,-69.16,28189647,-6049,321689,"-75,369","-1,044",119953,2013853,"-3,163",18,30730767
2017,MCBRIDE PLC,United Kingdom,Chemicals nec,-1.36,-23.55,11531388,-3587,161640,"-30,775",-507,"-19,929",1251693,"1,423",4,12998097
2011,AMERICAN AIRLINES GROUP INC,United States,Air transport 62,-36.75,0,8608254755,2041021,113214190,26297476,364561,1107949,62023737,226320,4,8813077369
2016,AGL ENERGY LTD,Australia,Production of electricity nec,-153.66,-1450.77,9470097420,3882010,122461052,29136683,504110,"-55,798",2783292690,2405198,0,12407024566
2014,SPARK NEW ZEALAND LTD,New Zealand,Post and telecommunications 64,-0.3,-2.28,7642811,-2970,"-84,493","-18,433",-408,"-48,094",685702,"2,614",5,8480297
2014,SYMANTEC CORPORATION,United States,Computer and related activities 72,-0.72,-3.32,47176950,-11759,626458,146240,"-2,073","-7,630",257128,"3,040",5,48225199
2015,SPIRE HEALTHCARE GROUP PLC,United Kingdom,Health and social work 85,-1.13,-8.14,14371474,-3221,195895,"-44,001",-593,-709,"-77,373",144,3,14693121
2015,TVS MOTOR COMPANY LIMITED,India,Manufacture of motor vehiclestrailers and semi-trailers 34,-2.32,-56.24,29013203,-6078,345595,"-78,589","-1,067",552441,6047022,"-3,133",19,36047127
2014,RYDER SYSTEMINC.,United States,Other land transport,-4.15,-60.85,259401843,-59321,3450021,808817,"-10,797",-12,11526638,5,0,275257444
2011,TOYO SEIKAN GROUP HOLDINGS LTD,Japan,Manufacture of fabricated metal productsexcept machinery and equipment 28,-2.35,-65.53,208998662,-49936,2781752,650703,"-8,883","-5,500",3670389,"4,794",0,216161032
2017,CAPSTONE MINING CORPORATION,Canada,Quarrying of sand and clay,-15.42,-100.1,86861840,-24936,1119615,263853,"-3,860","-25,281",19940657,"4,879",8,108235164
2015,GERRESHEIMER AG,Germany,Research and development 73,-11.88,-102.66,173845776,-40362,2311561,541868,"-7,291","-7,814",957119,"1,423",1,177710368
2013,HEINEKEN NV,Netherlands,Manufacture of beverages,-2.08,-16.58,486645003,150460,6434144,1505373,"-23,085",169257,55388999,"67,030",1,550249292
2017,GAZPROM PAO,Russia,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-23.26,-185.67,22955316856,9836021,305410011,71238670,1337645,19738663,3099007104,9417811,2,26452467159
2012,ASIA CEMENT CORP,Taiwan,Quarrying of sand and clay,-46.2,-744.52,999022147,288228,13482163,3158706,"-48,319","-12,828",5553113,176257,0,1021389247
2012,HALMA P.L.C.,United Kingdom,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.53,-2.74,4793733,-1435,"-62,393","-14,537",-232,"-19,588","-57,981",908,13,4948992
2015,INGERSOLL-RAND PLC,United States,Manufacture of fabricated metal productsexcept machinery and equipment 28,-2.08,-18.55,240717540,-49635,3008689,675150,"-9,155",5303423,1189528,"-11,654",15,250964773
2017,SECURITAS AB,Sweden,Other service activities 93,-0.34,-7.1,37092857,-8844,492509,115403,"-1,578","-7,449",245899,903,2,37963636
2017,INVENTEC CORPORATION,Taiwan,Manufacture of office machinery and computers 30,-0.72,-38.35,108910515,-25523,1447732,337225,"-4,584","-7,589",1784870,"1,673",1,112516364
2015,INTERNATIONAL FLAVORS & FRAGRANCES INCORPORATED,United States,Chemicals nec,-2.99,-15.17,83065784,-18774,1072770,251175,"-3,394",160996,5848491,"-1,322",5,90422705
2011,LITE-ON TECHNOLOGY CORPORATION,Taiwan,Manufacture of office machinery and computers 30,-1.17,-22.05,85550654,-19838,1137465,265700,"-3,583","-3,376",1905923,744,0,88885797
2014,LARSEN & TOUBRO LIMITED,India,Construction 45,-3.39,-29.78,204787402,-68877,2616508,608717,"-10,904",136803,247308572,"64,968",10,455472816
2018,FORTIS INC.,Canada,Production of electricity nec,-47.73,-169.33,2874844383,957562,35065302,8150252,380585,1917797,14320259,853349,15,2934782791
2010,UNITE GROUP PLC THE,United Kingdom,Financial intermediationexcept insurance and pension funding 65,-6.76,-318.9,20029788,-4594,266398,"-62,455",-835,-190,109887,35,0,20474113
2017,GUANGZHOU R&F PROPERTIES CO LTD,China,Real estate activities 70,-0.48,-1.83,16202403,-3365,199822,"-45,706",-617,"-36,908",27489511,"-1,176",6,43979508
2018,KB FINANCIAL GROUP INCORPORATION,South Korea,Financial intermediationexcept insurance and pension funding 65,-0.13,-0.95,33409105,-10156,446597,104549,"-1,643","-46,596",183801,"6,542",15,34195906
2014,GLOW ENERGY PUBLIC COMPANY LIMITED,Thailand,Production of electricity by hydro,-178.8,-872.64,3842036146,967727,51156419,12001531,188790,-571,60786361,202610,0,3966934936
2016,MOODY'S CORPORATION,United States,Activities auxiliary to financial intermediation 67,-0.13,-0.3,4430155,-1491,"-59,029","-13,761",-238,"-2,914","-24,186","1,425",19,4530349
2018,PANASONIC CORPORATION,Japan,Computer and related activities 72,-1.04,-22.41,730146444,173297,9752809,2268463,"-30,982","-72,331",12011124,"17,657",3,754437792
2013,SUMITOMO METAL MINING CO LTD,Japan,Quarrying of sand and clay,-8.99,-75.85,675347359,173255,8933211,2098807,"-29,269","-19,232",4776792,"25,145",0,691352780
2013,YOUNG OPTICS INC.,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-1.13,-20.91,1938167,-497,"-25,491","-5,899",-86,-469,"-10,371",143,4,1980836
2014,MCDONALD'S HOLDINGS COMPANY JAPAN LTD,Japan,Other service activities 93,-8.6,0,151830220,-35044,2019267,473329,"-6,346","-2,952",5072689,680,1,159439166
2013,ANGLO AMERICAN PLC,United Kingdom,Quarrying of sand and clay,-13.5,-73.85,3758747715,1456087,48749590,11507599,203827,10210160,130228657,1145873,7,3959957762
2018,CRRC CORP LTD,China,Manufacture of motor vehiclestrailers and semi-trailers 34,-3.47,-66.79,895322240,214335,11885533,2743162,"-37,982",1075645,169539124,"25,036",1,1080792985
2016,BUMI ARMADA BHD,Malaysia,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-47.32,0,135861436,-38998,1854839,410214,"-6,362","-77,522",770758,"21,351",10,138998776
2016,TOYOTA INDUSTRIES CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. 29,-1.38,-24.02,254884222,-59368,3419044,788529,"-10,689","-16,221",4325076,"3,793",0,263499356
2010,WESTPORT FUEL SYSTEMS INC,Canada,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.59,0,756766,-160,"-10,632","-2,256",-30,-11,"-8,960",3,8,778812
2017,SUNRUN INC,United States,Manufacture of radiotelevision and communication equipment and apparatus 32,-3.22,0,14820089,-3508,197921,"-46,121",-630,-778,2013829,401,9,17082475
2013,BANKIA SAU,Spain,Financial intermediationexcept insurance and pension funding 65,-0.04,-1.27,1206547,-343,"-15,421","-3,527",-53,"-4,998",3085450,67,1,4316272
2016,INTERTEK GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation 67,-1.96,-12.7,60789836,-14076,808375,189513,"-2,546","-3,047",333244,407,1,62140230
2017,LG UPLUS CORPORATION,South Korea,Post and telecommunications 64,-2.78,-41.26,310958333,-72129,4136266,969444,"-13,054","-12,836",2834931,"3,003",1,318993991
2010,SEKISUI HOUSELIMITED,Japan,Construction 45,-0.26,0,42068505,-12404,558313,130776,"-1,974","-4,990",229947,"5,428",13,43001481
2016,HAYS PLC,United Kingdom,Activities auxiliary to financial intermediation 67,-0.05,-1.23,2697002,-903,"-35,690","-8,353",-139,"-5,023","-14,685",670,17,2761123
2015,ZURICH INSURANCE GROUP LIMITED,Switzerland,Activities auxiliary to financial intermediation 67,-0.03,-0.55,17523724,-5370,225786,"-51,375",-893,"-29,326",2941963,"4,803",3,20773635
2015,RENESAS ELECTRONICS CORPORATION,Japan,Manufacture of electrical machinery and apparatus n.e.c. 31,-6.69,-50.71,407784669,-94070,5429418,1271078,"-17,056","-3,324",25671446,"2,405",1,440268655
2015,WH SMITH PLC,United Kingdom,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.69,-6.54,11687974,-2841,154952,"-36,318",-503,"-2,392","-63,859",444,3,11948396
2011,PETRONAS GAS BERHAD,Malaysia,Production of electricity by petroleum and other oil derivatives,-837.66,-1816.19,7820488482,4287061,86695141,21133781,628752,31711333,1774529842,2127092,19,9737347301
2018,AT&T INC.,United States,Post and telecommunications 64,-1.39,-8.4,2300138214,551117,30601165,7171650,"-98,500",174458,33160990,"73,425",3,2371822669
2018,GRUPO MEXICO S.A.B DE C.V.,Mexico,Quarrying of sand and clay,-31.89,-88.01,2360541762,590716,30912537,7264977,"-99,744",428887,947030707,"19,005",1,3346850326
2011,OMNICOM GROUP INCORPORATED,United States,Publishingprinting and reproduction of recorded media 22,-0.26,-2,4944953,-13976,"-56,117","-9,584","-1,456",238726,30431961,"32,859",9,35663915
2016,CMS ENERGY CORPORATION,United States,Production of electricity nec,-60.84,-300.16,3753236611,994746,49129161,11461858,171071,967669,77463795,413536,7,3893011377
2017,AKSA AKRILIK KIMYA SANAYII A.S.,Turkey,Manufacture of textiles 17,-412.51,-2724.07,2836561812,650809,37717575,8838229,118238,109442,124630550,"5,266",0,3008621389
2018,MINERAL RESOURCES LTD,Australia,Quarrying of sand and clay,-5.58,-23.86,18948752,-22899,230511,"-55,923","-2,172","-37,550",44658940,"32,616",3,63924130
2018,MITSUBISHI MATERIALS CORPORATION,Japan,Quarrying of sand and clay,-22.18,-487.28,3136106976,882257,42189617,9888707,148536,"-36,498",45321465,467645,0,3234106411
